feature,model_importance,permutation_importance,permutation_std
epa_diff,0.02984222,0.04471070276885616,0.007616580742970941
epa_per_play_diff,0.023135016,0.03784837721387926,0.007729425392950333
def_epa_per_play_allowed_diff,0.0078118425,0.020445424008238143,0.012074699995143675
def_epa_allowed_diff,0.017574167,0.010776309552378271,0.014290400340615543
ypp_diff,0.00096010463,0.008098854339045424,0.003792387172172555
passing_rate_diff,0.00818898,0.005270162565836856,0.005370773796876381
inj_listed_total_rolling3_diff,0.0037112306,0.004398965792970544,0.004685522359499322
inj_out_delta_diff,0.0029866642,0.00436291094304333,0.003745987271537487
def_plays_allowed_diff,0.0028475502,0.004102764083337318,0.0031128595876643897
inj_listed_total_pct_change_diff,0.003431298,0.003859763380028869,0.0032066767449111734
scoring_tottd_diff,0.026275292,0.0037224956888804116,0.0064576236763587945
inj_listed_total_prev_diff,0.0037951677,0.0035208347373158143,0.001679126859527377
receiving_rec_diff,0.0028208215,0.0032355817400905986,0.0028274335443074098
weather_rain_index_diff,0.0022070396,0.0031517028489698616,0.0015407225157083194
altitude_ft_diff,0.0022088664,0.0029028428620058166,0.003067249250489019
inj_out_pct_change_diff,0.003662344,0.0028757726827904006,0.003144754532372291
passing_int_diff,0.004099492,0.002693780787738298,0.001975862778852021
downs_3rdmd_diff,0.0031634825,0.0026581683989096217,0.003279185416670797
passing_20+_diff,0.0022635139,0.002514470878664721,0.0018737681340675206
weather_snow_index_diff,0.0020450698,0.002058730366289341,0.0030324075750180345
inj_questionable_diff,0.001109417,0.002014827973529454,0.0008402642620645446
inj_out_prev_diff,0.004042948,0.002013663031233115,0.001494249207292934
yards_per_play_diff,0.0031832699,0.0019982791729393325,0.0011192102501793792
scoring_2_pt_diff,0.0030664105,0.001921262403379176,0.0021230495006226485
def_yards_allowed_diff,0.0031780053,0.0018895815467317334,0.0025107115010751645
scoring_rectd_diff,0.003533094,0.0018701706582048949,0.0021031467296923735
inj_questionable_rolling3_diff,0.0028850066,0.0018408793822053849,0.0008834709564900829
downs_rec1st_diff,0.0023576964,0.0018036714306040702,0.0021430839352009133
inj_practice_full_delta_diff,0.0028922597,0.001662043689332826,0.0018064895463479798
passing_40+_diff,0.003120233,0.0015542093216552866,0.002619776507139718
epa_per_play_allowed_diff,0.021476973,0.0014351948682088888,0.0015950601755062327
roster_fantasy_data_id_diff,0.0060343207,0.0014102392654497197,0.0010705163467010002
indoor_diff,0.0030681852,0.0014032500549061577,0.0005655157545348901
rushing_rushfum_diff,0.0029713113,0.0013641667358879062,0.0029617342863723457
passing_lng_diff,0.002581236,0.0013387098926661122,0.0036850670872828318
rushing_td_diff,0.0052940417,0.0012924497828279424,0.0014404578262203942
yards_allowed_diff,0.003275804,0.001173383721623611,0.0015054724385067573
receiving_20+_diff,0.0041234363,0.0011639128283549515,0.00042017380208912665
passing_passyds_diff,0.0033052564,0.0010930702787976144,0.0011592268653749876
inj_doubtful_prev_diff,0.0029957388,0.0010612684362285574,0.0004934052601483735
rushing_rush1st_diff,0.0029376382,0.000959030298716157,0.001624610743349526
snaps_st_pct_diff,0.003016608,0.0009457239723869026,0.0002685331489530069
downs_4thmd_diff,0.0032787118,0.0009375097785661701,0.0017950428690396724
rushing_rushyds_diff,0.003422155,0.0009280495857095117,0.0002284902372809613
news_count7_diff,0.00049006776,0.0008992317365132729,6.78763274776869e-05
plays_proxy_diff,0.0055094115,0.000879236623550228,0.0033935239399274044
downs_3rdatt_diff,0.0026099356,0.0008149922671979448,0.0021405388761393967
rushing_att_diff,0.0025797803,0.000789101998763031,0.00034258341726237297
def_pass_rate_allowed_diff,0.0010829972,0.0007668828430338781,0.00041587758476538855
inj_practice_limited_rolling3_diff,0.0028399646,0.000754724001903706,0.0026496709458397032
snaps_st_snaps_prev_diff,0.005767042,0.0006619827504249054,0.00047749362295510585
downs_4thatt_diff,0.003192842,0.0006494825819862049,0.002767849329337772
roster_height_diff,0.008574568,0.0005174315505690252,0.00037226581999482317
