bet_type,bet_side,threshold,n_bets,wins,losses,pushes,hit_rate,avg_cover_prob,avg_expected_profit,avg_edge_points,avg_odds_decimal,avg_odds_american,total_profit,roi
spread,away,0.0,1337,677,628,32,0.5187739463601533,0.5822986049174134,0.12438614102475114,2.8017992189784113,1.9316623473042007,-81.67838444278235,2.3880451096461286,0.0017861219967435517
spread,away,1.0,1088,546,517,25,0.5136406396989652,0.5973956911198907,0.15249204309761166,3.3187468760021743,1.9297856357428207,-84.56985294117646,-9.557725502631435,-0.008784674175212715
spread,away,2.0,782,393,369,20,0.515748031496063,0.6175226300832948,0.18949841215439395,4.018288896266962,1.926640005631245,-88.57416879795396,-5.712252796554534,-0.0073046710953382785
spread,away,3.0,472,236,225,11,0.5119305856832972,0.6460266448114371,0.2413492312722837,5.029868456435581,1.92155439062358,-94.41737288135593,-8.014194131067065,-0.016979224853955647
spread,away,5.0,176,81,90,5,0.47368421052631576,0.6988203289382166,0.3392671028501407,6.9860157208917135,1.9155486680645404,-101.58522727272727,-16.36757297900856,-0.09299757374436682
spread,away,7.0,70,32,36,2,0.47058823529411764,0.7459172202554366,0.43980899295893056,8.85234383802584,1.92948870202253,-90.72857142857143,-6.422425405568976,-0.0917489343652711
spread,away,10.0,14,5,9,0,0.35714285714285715,0.8094058598642773,0.575303822348103,11.699050468825826,1.945968665305202,-77.28571428571429,-4.240867601856038,-0.3029191144182884
spread,home,0.0,914,445,448,21,0.49832026875699886,0.5669242580689438,0.09328126378720393,2.2691519998627174,1.9288590153860683,-83.30853391684902,-35.40271099222079,-0.03873381946632472
spread,home,1.0,675,330,325,20,0.5038167938931297,0.5852760395780534,0.1280923506589684,2.8949116098343985,1.9278864571316865,-83.56,-19.87045740317026,-0.029437714671363347
spread,home,2.0,427,213,202,12,0.5132530120481927,0.6091122978856777,0.17231388540966064,3.7205419784069225,1.9249739366916852,-82.73536299765809,-5.73577362280674,-0.01343272511195958
spread,home,3.0,225,117,101,7,0.536697247706422,0.6410549832406567,0.23269953354695197,4.853920220901926,1.9233439625040025,-82.94666666666667,5.9775847600219345,0.026567043377875264
spread,home,5.0,71,36,34,1,0.5142857142857142,0.7040040008827115,0.34785262224226754,7.191081873106948,1.9146025361570957,-92.88732394366197,-1.4564511487997938,-0.020513396461968925
spread,home,7.0,27,12,14,1,0.46153846153846156,0.7570903326381746,0.4452443272627112,9.31223597067198,1.908303165949452,-95.77777777777777,-3.3050318932367557,-0.12240858863839836
spread,home,10.0,7,0,7,0,0.0,0.8068728068067077,0.5509520672863117,11.53622019833855,1.9218978896943402,-80.57142857142857,-7.0,-1.0
