feature,importance
outdoor_game,0.08547779
away_travel_east,0.056641925
back_to_back_travel,0.056510564
timezone_diff_hours_abs,0.051368546
indoor_game,0.050416633
timezone_diff_hours,0.049133845
home_rest,0.048567627
short_rest,0.045893062
temp_f,0.04587791
rest_diff,0.04538807
away_travel_distance_km,0.04517684
sched_rest_days_away,0.044724565
sched_rest_days_home,0.044659447
away_travel_distance_miles,0.04465048
rest_days_diff,0.043488838
qb_uncertainty_score,0.042746536
wind_mph,0.042120043
away_rest,0.041000582
qb_uncertain,0.040261716
away_travel_west,0.038632758
sched_back_to_back_travel_away,0.037262287
sched_back_to_back_travel_home,0.0
travel_km_back_to_back,0.0
travel_km_short_rest,0.0
timezone_diff_short_rest,0.0
travel_km_per_rest_day,0.0
