season_range,season_start,season_end,games_per_team,schedule_weeks,notes
1935-1936,1935,1936,12,,
1937-1942,1937,1942,11,12,12 weeks
1943-1945,1943,1945,10,12,12 weeks
1946,1946,1946,11,12,12 weeks
1947-1960,1947,1960,12,,variable weeks
1961-1965,1961,1965,14,14,14 weeks
1966,1966,1966,14,15,"15 weeks, odd number of teams"
1967-1977,1967,1977,14,14,14 weeks
1978-1981,1978,1981,16,16,16 weeks
1982,1982,1982,9,17,"17 weeks, strike"
1983-1986,1983,1986,16,16,16 weeks
1987,1987,1987,15,16,"16 weeks, strike"
1988-1989,1988,1989,16,16,16 weeks
1990-1992,1990,1992,16,17,17 weeks
1993,1993,1993,16,18,"18 weeks, additional bye week"
1994-2000,1994,2000,16,17,17 weeks
2001,2001,2001,16,18,"18 weeks, September 11 attacks"
2002-2020,2002,2020,16,17,17 weeks
2021-present,2021,,17,18,18 weeks
