team_abbr,rival_abbr,rivalry_type,intensity,notes
BUF,MIA,divisional,0.6,Divisional rivalry (AFC East)
BUF,NE,divisional,0.6,Divisional rivalry (AFC East)
BUF,NYJ,divisional,0.6,Divisional rivalry (AFC East)
MIA,BUF,divisional,0.6,Divisional rivalry (AFC East)
MIA,NE,divisional,0.6,Divisional rivalry (AFC East)
MIA,NYJ,divisional,0.6,Divisional rivalry (AFC East)
NE,BUF,divisional,0.6,Divisional rivalry (AFC East)
NE,MIA,divisional,0.6,Divisional rivalry (AFC East)
NE,NYJ,divisional,0.6,Divisional rivalry (AFC East)
NYJ,BUF,divisional,0.6,Divisional rivalry (AFC East)
NYJ,MIA,divisional,0.6,Divisional rivalry (AFC East)
NYJ,NE,divisional,0.6,Divisional rivalry (AFC East)
BAL,CIN,divisional,0.7,Divisional rivalry (AFC North)
BAL,CLE,divisional,0.7,Divisional rivalry (AFC North)
BAL,PIT,divisional,0.7,Divisional rivalry (AFC North)
CIN,BAL,divisional,0.7,Divisional rivalry (AFC North)
CIN,CLE,divisional,0.7,Divisional rivalry (AFC North)
CIN,PIT,divisional,0.7,Divisional rivalry (AFC North)
CLE,BAL,divisional,0.7,Divisional rivalry (AFC North)
CLE,CIN,divisional,0.7,Divisional rivalry (AFC North)
CLE,PIT,divisional,0.7,Divisional rivalry (AFC North)
PIT,BAL,divisional,0.7,Divisional rivalry (AFC North)
PIT,CIN,divisional,0.7,Divisional rivalry (AFC North)
PIT,CLE,divisional,0.7,Divisional rivalry (AFC North)
HOU,IND,divisional,0.6,Divisional rivalry (AFC South)
HOU,JAX,divisional,0.6,Divisional rivalry (AFC South)
HOU,TEN,divisional,0.6,Divisional rivalry (AFC South)
IND,HOU,divisional,0.6,Divisional rivalry (AFC South)
IND,JAX,divisional,0.6,Divisional rivalry (AFC South)
IND,TEN,divisional,0.6,Divisional rivalry (AFC South)
JAX,HOU,divisional,0.6,Divisional rivalry (AFC South)
JAX,IND,divisional,0.6,Divisional rivalry (AFC South)
JAX,TEN,divisional,0.6,Divisional rivalry (AFC South)
TEN,HOU,divisional,0.6,Divisional rivalry (AFC South)
TEN,IND,divisional,0.6,Divisional rivalry (AFC South)
TEN,JAX,divisional,0.6,Divisional rivalry (AFC South)
DEN,KC,divisional,0.7,Divisional rivalry (AFC West)
DEN,LV,divisional,0.7,Divisional rivalry (AFC West)
DEN,LAC,divisional,0.7,Divisional rivalry (AFC West)
KC,DEN,divisional,0.7,Divisional rivalry (AFC West)
KC,LV,divisional,0.7,Divisional rivalry (AFC West)
KC,LAC,divisional,0.7,Divisional rivalry (AFC West)
LV,DEN,divisional,0.7,Divisional rivalry (AFC West)
LV,KC,divisional,0.7,Divisional rivalry (AFC West)
LV,LAC,divisional,0.7,Divisional rivalry (AFC West)
LAC,DEN,divisional,0.7,Divisional rivalry (AFC West)
LAC,KC,divisional,0.7,Divisional rivalry (AFC West)
LAC,LV,divisional,0.7,Divisional rivalry (AFC West)
DAL,NYG,divisional,0.7,Divisional rivalry (NFC East)
DAL,PHI,divisional,0.7,Divisional rivalry (NFC East)
DAL,WAS,divisional,0.7,Divisional rivalry (NFC East)
NYG,DAL,divisional,0.7,Divisional rivalry (NFC East)
NYG,PHI,divisional,0.7,Divisional rivalry (NFC East)
NYG,WAS,divisional,0.7,Divisional rivalry (NFC East)
PHI,DAL,divisional,0.7,Divisional rivalry (NFC East)
PHI,NYG,divisional,0.7,Divisional rivalry (NFC East)
PHI,WAS,divisional,0.7,Divisional rivalry (NFC East)
WAS,DAL,divisional,0.7,Divisional rivalry (NFC East)
WAS,NYG,divisional,0.7,Divisional rivalry (NFC East)
WAS,PHI,divisional,0.7,Divisional rivalry (NFC East)
CHI,DET,divisional,0.7,Divisional rivalry (NFC North)
CHI,GB,divisional,0.7,Divisional rivalry (NFC North)
CHI,MIN,divisional,0.7,Divisional rivalry (NFC North)
DET,CHI,divisional,0.7,Divisional rivalry (NFC North)
DET,GB,divisional,0.7,Divisional rivalry (NFC North)
DET,MIN,divisional,0.7,Divisional rivalry (NFC North)
GB,CHI,divisional,0.7,Divisional rivalry (NFC North)
GB,DET,divisional,0.7,Divisional rivalry (NFC North)
GB,MIN,divisional,0.7,Divisional rivalry (NFC North)
MIN,CHI,divisional,0.7,Divisional rivalry (NFC North)
MIN,DET,divisional,0.7,Divisional rivalry (NFC North)
MIN,GB,divisional,0.7,Divisional rivalry (NFC North)
ATL,CAR,divisional,0.6,Divisional rivalry (NFC South)
ATL,NO,divisional,0.6,Divisional rivalry (NFC South)
ATL,TB,divisional,0.6,Divisional rivalry (NFC South)
CAR,ATL,divisional,0.6,Divisional rivalry (NFC South)
CAR,NO,divisional,0.6,Divisional rivalry (NFC South)
CAR,TB,divisional,0.6,Divisional rivalry (NFC South)
NO,ATL,divisional,0.6,Divisional rivalry (NFC South)
NO,CAR,divisional,0.6,Divisional rivalry (NFC South)
NO,TB,divisional,0.6,Divisional rivalry (NFC South)
TB,ATL,divisional,0.6,Divisional rivalry (NFC South)
