team_abbr,city,state,latitude,longitude,timezone_offset_hours
ARI,Glendale,AZ,33.5275,-112.2626,-7
ATL,Atlanta,GA,33.7550,-84.4010,-5
BAL,Baltimore,MD,39.2780,-76.6227,-5
BUF,Orchard Park,NY,42.7738,-78.7868,-5
CAR,Charlotte,NC,35.2251,-80.8526,-5
CHI,Chicago,IL,41.8623,-87.6167,-6
CIN,Cincinnati,OH,39.0954,-84.5160,-5
CLE,Cleveland,OH,41.5061,-81.6995,-5
DAL,Arlington,TX,32.7473,-97.0945,-6
DEN,Denver,CO,39.7439,-105.0201,-7
DET,Detroit,MI,42.3400,-83.0456,-5
GB,Green Bay,WI,44.5013,-88.0622,-6
HOU,Houston,TX,29.6847,-95.4107,-6
IND,Indianapolis,IN,39.7601,-86.1639,-5
JAX,Jacksonville,FL,30.3239,-81.6374,-5
KC,Kansas City,MO,39.0489,-94.4840,-6
LAC,Inglewood,CA,33.9535,-118.3391,-8
LAR,Inglewood,CA,33.9535,-118.3391,-8
LV,Paradise,NV,36.0908,-115.1830,-8
MIA,Miami Gardens,FL,25.9580,-80.2389,-5
MIN,Minneapolis,MN,44.9740,-93.2596,-6
NE,Foxborough,MA,42.0909,-71.2643,-5
NO,New Orleans,LA,29.9509,-90.0810,-6
NYG,East Rutherford,NJ,40.8136,-74.0744,-5
NYJ,East Rutherford,NJ,40.8136,-74.0744,-5
PHI,Philadelphia,PA,39.9008,-75.1675,-5
PIT,Pittsburgh,PA,40.4468,-80.0158,-5
SEA,Seattle,WA,47.5952,-122.3316,-8
SF,Santa Clara,CA,37.4030,-121.9700,-8
TB,Tampa,FL,27.9760,-82.5034,-5
TEN,Nashville,TN,36.1665,-86.7713,-6
WAS,Landover,MD,38.9077,-76.8645,-5
