season,week,game_id,kickoff,kickoff_mt,team,team_side,player_rank,player_id,player_name,jersey_number,games_sampled,projected_sacks,projected_qb_hits,projected_tfl,projected_blocked_punts,projected_loss_yards,penalties_per_game,penalty_count,penalty_yards
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,1,00-0040724,T.Sanders,98.0,1,1.0,1.0,1.0,0.0,14.0,1.0,1,3.0
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,2,00-0035933,M.Hoecht,55.0,2,1.0,1.0,0.5,0.0,7.25,1.0,1,15.0
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,3,00-0036914,G.Rousseau,15.0,59,0.54,1.51,0.9,0.0,7.31,1.0,3,25.0
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,4,00-0035230,E.Oliver,91.0,63,0.48,1.21,0.89,0.0,7.85,1.118,19,162.0
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,5,00-0039879,J.Solomon,56.0,8,0.38,1.0,0.5,0.0,8.25,1.0,3,27.0
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,6,00-0037254,T.Bernard,8.0,21,0.36,0.67,1.05,0.0,5.57,1.25,5,41.0
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,7,00-0039872,C.Bishop,24.0,6,0.33,0.33,0.83,0.0,5.0,1.0,5,50.0
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,8,00-0037288,C.Benford,47.0,11,0.27,0.27,1.0,0.0,6.64,1.182,13,94.0
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,9,00-0040710,D.Walker,96.0,7,0.14,0.57,1.14,0.0,2.0,1.0,1,15.0
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,10,00-0039763,J.Andreessen,44.0,4,0.0,0.75,0.75,0.0,0.75,1.0,2,20.0
