season,week,game_id,kickoff,kickoff_mt,team,team_side,player_rank,player_id,player_name,jersey_number,games_sampled,projected_passing_yards,projected_passing_tds,projected_rushing_tds,projected_passing_attempts,projected_interceptions,projected_completions,projected_rushing_yards
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,BUF,home,1,00-0034857,J.Allen,17.0,123,242.0,1.79,0.59,33.23,0.72,21.11,39.1
2026,2,2026_02_DET_BUF,2026-09-17 23:00:00+00:00,2026-09-17 17:00 MDT,DET,away,1,00-0033106,J.Goff,16.0,69,261.4,1.74,0.03,34.43,0.61,23.35,3.6
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,ATL,home,1,00-0039917,M.Penix,9.0,5,155.0,0.6,0.2,21.0,0.6,12.2,2.2
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,1,00-0039150,B.Young,9.0,30,176.0,0.87,0.2,30.37,0.63,18.3,16.7
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,1,00-0034796,L.Jackson,8.0,111,196.5,1.59,0.32,25.47,0.5,16.43,61.4
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,1,00-0039376,S.Rattler,2.0,7,188.1,0.57,0.0,32.57,0.71,18.57,20.9
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,1,00-0039918,C.Williams,18.0,17,208.3,1.18,0.0,33.06,0.35,20.65,28.8
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,2,00-0038416,T.Bagent,17.0,9,96.7,0.33,0.22,16.11,0.67,10.67,11.3
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,1,00-0039163,C.Stroud,7.0,36,244.8,1.31,0.08,31.83,0.5,20.31,13.4
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,2,00-0036898,D.Mills,10.0,38,162.4,0.92,0.05,24.97,0.66,15.63,4.4
